Time resolution is 1 ps
Time =                    0 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = xxxxxxxx
Time =               130000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               135000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               140000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               145000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               150000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               155000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               160000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               165000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               170000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               175000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               180000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               185000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               190000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               195000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               200000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               205000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               210000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               215000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               220000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               225000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               230000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               235000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               240000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               245000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               250000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               255000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               260000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               265000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               270000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               275000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               280000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               285000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               290000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               295000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               300000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               305000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               310000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               315000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               320000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               325000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               330000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               335000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               340000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               345000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               350000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               355000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               360000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               365000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               370000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               375000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               380000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               385000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               390000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               395000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               400000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               405000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               410000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               415000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               420000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               425000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               430000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               435000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               440000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               445000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               450000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               455000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               460000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               465000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               470000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               475000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               480000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               485000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               490000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               495000 | clk = 1 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               500000 | clk = 0 | control = 1 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               505000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               510000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               515000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               520000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               525000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               530000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               535000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               540000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               545000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               550000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               555000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               560000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               565000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               570000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               575000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               580000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               585000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               590000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               595000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               600000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               605000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               610000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               615000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               620000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               625000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               630000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               635000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               640000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               645000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               650000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               655000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               660000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               665000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               670000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               675000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               680000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               685000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               690000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               695000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               700000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               705000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               710000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               715000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               720000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               725000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               730000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               735000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               740000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               745000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               750000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               755000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               760000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               765000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               770000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               775000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               780000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               785000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               790000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               795000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               800000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               805000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               810000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               815000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               820000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               825000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               830000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               835000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               840000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               845000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               850000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               855000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               860000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               865000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               870000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               875000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               880000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               885000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               890000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               895000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               900000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               905000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               910000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               915000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               920000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               925000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               930000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               935000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               940000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               945000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               950000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               955000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               960000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               965000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               970000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               975000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               980000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               985000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               990000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =               995000 | clk = 1 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
Time =              1000000 | clk = 0 | control = 0 | data_arr = 0000000000000000 | wt_arr = 0000000001020304 | acc_out = 00000000
